comm_id,name,cntr_code,osm_id_commune,osm_name,osm_role_point,lon,lat,NUTS23_id,osm_id_NUTS23
BE271004,Beringen,BE,1229559,Beringen,admin_centre,5.226687,51.048964,BE22,53142
BE271057,Tessenderlo,BE,1229643,Tessenderlo,admin_centre,5.089667,51.068158,BE22,53142
BE271069,Ham,BE,1229644,Ham,admin_centre,5.164761,51.102041,BE22,53142
BE271034,Leopoldsburg / Bourg-LÚopold,BE,1229781,Leopoldsburg,admin_centre,5.262705,51.119302,BE22,53142
BE271022,Hasselt,BE,1230716,Hasselt,admin_centre,5.337804,50.930374,BE22,53142
FR3162107060,Auxi-le-Château,FR,1231635,Auxi-le-Château,admin_centre,2.116510,50.231300,FR302,7394
FR4157437642,Scy-Chazelles,FR,123262,Scy-Chazelles,admin_centre,6.114157,49.114408,FR413,51854
FR4157443645,Semécourt,FR,123264,Semécourt,admin_centre,6.135274,49.193842,FR413,51854
FR4157815647,Serémange-Erzange,FR,123265,Serémange-Erzange,admin_centre,6.091134,49.321275,FR413,51854
FR4157433653,Silly-en-Saulnois,FR,123266,Silly-en-Saulnois,admin_centre,6.277190,48.991571,FR413,51854
FR4157351659,Spicheren,FR,123272,Spicheren,admin_centre,6.967779,49.192368,FR413,51854
FR4157396606,Saint-Avold,FR,123277,Saint-Avold,admin_centre,6.707175,49.104340,FR413,51854
FR4157443663,Talange,FR,123278,Talange,admin_centre,6.173694,49.236896,FR413,51854
FR4157347665,Tenteling,FR,123279,Tenteling,admin_centre,6.939411,49.126101,FR413,51854
FR4157109668,Teting-sur-Nied,FR,123281,Teting-sur-Nied,admin_centre,6.665423,49.058334,FR413,51854
FR4157109670,Thicourt,FR,123282,Thicourt,admin_centre,6.555350,48.989375,FR413,51854
FR3162108084,Barly,FR,1232827,Barly,admin_centre,2.547855,50.251285,FR302,7394
FR3162422124,Beutin,FR,1232835,Beutin,admin_centre,1.723944,50.491368,FR302,7394
FR3162143767,Saint-Pol-sur-Ternoise,FR,1232837,Saint-Pol-sur-Ternoise,admin_centre,2.336105,50.381211,FR302,7394
FR3162501288,Ecques,FR,1232838,Ecques,admin_centre,2.286275,50.669543,FR302,7394
FR4157797672,Thionville,FR,123302,Thionville,admin_centre,6.152977,49.359161,FR413,51854
FR4157207674,Tincry,FR,123305,Tincry,admin_centre,6.409706,48.903445,FR413,51854
FR4157423676,Tragny,FR,123312,Tragny,admin_centre,6.378366,48.959641,FR413,51854
FR4157435677,Trémery,FR,123314,Trémery,admin_centre,6.225245,49.246905,FR413,51854
FR4157109679,Tritteling-Redlach,FR,123319,Tritteling-Redlach,admin_centre,6.619116,49.078758,FR413,51854
FR4157109686,Vahl-lès-Faulquemont,FR,123320,Vahl-lès-Faulquemont,admin_centre,6.626408,49.026300,FR413,51854
FR4157327690,Valmont,FR,123321,Valmont,admin_centre,6.699685,49.085825,FR413,51854
FR4157103696,Varsberg,FR,123322,Varsberg,admin_centre,6.630185,49.173296,FR413,51854
FR4157413701,Vaux,FR,123324,Vaux,admin_centre,6.080754,49.094109,FR413,51854
FR4157413707,Vernéville,FR,123327,Vernéville,admin_centre,6.003337,49.147235,FR413,51854
FR4157234712,Vic-sur-Seille,FR,123337,Vic-sur-Seille,admin_centre,6.530315,48.781323,FR413,51854
FR4157433715,Vigny,FR,123350,Vigny,admin_centre,6.248305,48.968037,FR413,51854
FR4157822724,Vitry-sur-Orne,FR,123353,Vitry-sur-Orne,admin_centre,6.109376,49.266071,FR413,51854
FR4157103730,Volmerange-lès-Boulay,FR,123354,Volmerange-lès-Boulay,admin_centre,6.448840,49.168838,FR413,51854
FR4157516734,Voyer,FR,123360,Voyer,admin_centre,7.078486,48.653243,FR413,51854
FR4157628746,Willerwald,FR,123362,Willerwald,admin_centre,7.035839,49.027732,FR413,51854
FR4157650750,Wœlfling-lès-Sarreguemines,FR,123363,Wœlfling-lès-Sarreguemines,admin_centre,7.174726,49.086124,FR413,51854
FR4157437751,Woippy,FR,123389,Woippy,admin_centre,6.151922,49.151585,FR413,51854
FR4157738757,Yutz,FR,123393,Yutz,admin_centre,6.188405,49.359283,FR413,51854
FR4157103762,Zimming,FR,123394,Zimming,admin_centre,6.587441,49.124019,FR413,51854
FR3162107163,Bouret-sur-Canche,FR,1235963,Bouret-sur-Canche,admin_centre,2.320743,50.267582,FR302,7394
FR3162501226,Clarques,FR,1235970,Clarques,admin_centre,2.276508,50.646611,FR302,7394
FR3162120248,Courcelles-le-Comte,FR,1235971,Courcelles-le-Comte,admin_centre,2.774183,50.163614,FR302,7394
