"","id","x","y"
"144","HU006",20.13619278,46.27828707
"145","HU007",17.65607321,47.58788863
"146","HU008",19.68025044,46.90242337
"147","HU009",18.44752968,47.12885516
"148","IT001",12.51933994,41.93076225
"149","IT002",9.21296909,45.48085844
"150","IT003",14.23671396,40.89509594
"151","IT004",7.67094942,45.04200656
"152","IT005",13.24995652,38.00057875
"153","IT006",8.97589334,44.49599424
"154","IT007",11.30554073,43.75005267
"155","IT008",16.76507634,41.02701289
"156","IT009",11.37591428,44.50458127
"157","IT010",15.00860963,37.5225781
"158","IT011",12.24788455,45.42916873
"159","IT012",10.90267392,45.46162626
"160","IT013",10.04853087,45.14932527
"161","IT014",11.20001486,46.08864053
"162","IT015",13.76513207,45.6908832
"163","IT016",12.3369493,43.12658093
"164","IT017",13.43158739,43.55197901
"165","IT018",13.43945383,42.3614654
"166","IT019",14.10301089,42.37895177
"167","IT020",14.70024762,41.55814627
"168","IT021",14.24743841,41.10788063
"169","IT022",17.24860911,40.57254845
"170","IT023",15.82762492,40.6627562
"171","IT024",16.58495894,38.95495818
"172","IT025",15.74010805,38.13781816
"173","IT026",8.45482916,40.75370719
"174","IT027",9.11785141,39.29225344
"175","IT028",11.90424201,45.37622736
"176","IT029",10.20963875,45.52285625
"177","IT030",10.9851155,44.61515865
"178","IT031",15.51111252,41.391877
"179","IT032",14.9663826,40.67040658
"180","LT001",25.13129719,54.69367789
"181","LT002",23.8105904,54.96427474
"182","LT003",24.35446004,55.66763351
"183","LU001",6.09213744,49.77701395
"184","LV001",24.58416085,56.9149356
"185","LV002",21.3861343,56.5288697
"186","MT001",14.44047452,35.88806371
"187","MT002",14.2566059,36.04539923
"188","NL001",4.33683159,52.04190898
"189","NL002",4.95145619,52.39137347
"190","NL003",4.33390462,51.89535729
"191","NL004",5.14136658,52.08035979
"192","NL005",5.46692862,51.43324233
"193","NL006",5.07971702,51.53939534
"194","NL007",6.48933544,53.18773948
"195","NL008",6.88764275,52.262204
"196","NL009",5.90416792,51.97118673
"197","NL010",5.96188931,50.8981337
"198","NL012",4.73380244,51.59412688
"199","NL013",5.82166517,51.81794998
"200","NL014",5.96588799,52.23127532
"201","NL015",5.8061967,53.22170382
"202","NO001",11.14132283,59.92237769
"203","NO002",5.5326985,60.49678001
"204","NO003",10.65176996,63.24489931
"205","NO004",6.09351671,58.8953961
"206","NO005",7.83907573,58.28764018
"207","NO006",19.18921885,69.76293346
"208","PL001",21.20900662,52.22345046
"209","PL002",19.47123157,51.79867801
"210","PL003",20.00633265,50.06545771
"211","PL004",16.97025723,51.16044386
"212","PL005",16.89465519,52.38515992
"213","PL006",18.45771049,54.32757077
"214","PL007",14.80052362,53.33193242
"215","PL008",17.94517505,53.18290662
"216","PL009",22.56275185,51.18213037
"217","PL010",18.95339769,50.21548656
"218","PL011",23.22584277,53.08929786
"219","PL012",20.70242783,50.83328528
"220","PL013",18.65188597,53.04076098
"221","PL014",20.55238844,53.80646601
"222","PL015",22.05164556,50.04053701
"223","PL016",17.90233009,50.71624741
"224","PL017",15.12921553,52.73135902
"225","PL018",15.54118462,51.97597794
"226","PL019",15.71383099,50.87642603
"227","PL020",20.68288182,49.58605426
"228","PL021",22.96805274,54.15309243
"229","PL022",18.27185165,52.26133765
"230","PL024",19.17092034,50.85178635
"231","PL025",21.18890921,51.37540679
"232","PL026",19.83325775,52.54954128
"233","PL027",17.96601945,51.75565442
"234","PL028",16.3660134,54.11917218
"235","PT001",-9.15649584,38.79303948
"236","PT002",-8.56205796,41.14784637
"237","PT003",-8.41945886,41.62493083
"238","PT004",-16.87891828,32.70266444
"239","PT005",-8.41091841,40.19647509
"240","PT006",-8.91471079,38.52240642
"241","PT007",-25.57650223,37.79713442
"242","PT008",-8.64679981,40.6325844
"243","PT009",-7.87677181,37.10085427
"244","RO001",26.12573636,44.43671822
"245","RO002",23.59981466,46.7944605
"246","RO003",21.23213699,45.75181831
"247","RO004",23.75514979,44.32464972
"248","RO005",28.01662627,45.22451681
"249","RO006",21.92765395,47.04069567
"250","RO007",26.85921221,46.58218494
"251","RO008",21.35255462,46.16904397
"252","RO009",24.0332223,45.6849485
"253","RO010",24.55987841,46.55625197
"254","RO011",26.40111396,46.90249508
"255","RO012",27.36340416,44.2233679
"256","RO013",25.92316209,43.87675374
"257","RO014",23.57748175,46.01339652
"258","SE001",18.15120551,59.47192478
"259","SE002",12.18334021,57.82044359
"260","SE003",13.25430533,55.5676943
"261","SE004",14.15121376,57.76169778
"262","SE005",19.77645254,64.06354485
"263","SE006",17.67580056,60.12169278
"264","SE007",15.67696441,58.223324
"265","SE008",15.15037589,59.24942529
"266","SI001",14.59694688,46.02796865
"267","SI002",15.75240239,46.47129717
"268","SK001",17.17942873,48.31782782
"269","SK002",21.18572999,48.69086596
